  Time                 , V(R5:1)              , V(D13:1)             
  4.038554862978e-07  ,7.818941509678e-01  ,1.208277250178e+01  
  4.043419160785e-07  ,7.810430210277e-01  ,1.359827076847e+01  
  4.050959148349e-07  ,7.782275287978e-01  ,1.594099056063e+01  
  4.066039123477e-07  ,7.732078425496e-01  ,2.059828846222e+01  
  4.088144996108e-07  ,7.661579837118e-01  ,2.733901287870e+01  
  4.108738400878e-07  ,7.599920568450e-01  ,3.350061538652e+01  
  4.126377650442e-07  ,7.549698994689e-01  ,3.866784015934e+01  
  4.144445308389e-07  ,7.500974333485e-01  ,4.383735862604e+01  
  4.175573834123e-07  ,7.421136852528e-01  ,5.240348145147e+01  
  4.207909353914e-07  ,7.345686620435e-01  ,6.077041659571e+01  
  4.272580393495e-07  ,7.209711417867e-01  ,7.554473184297e+01  
  4.392445334138e-07  ,6.993884481957e-01  ,9.434552468515e+01  
  4.411597051563e-07  ,6.963097282945e-01  ,9.616813710383e+01  
  4.449900486412e-07  ,6.901643853664e-01  ,9.876393860404e+01  
  4.526507356109e-07  ,6.770281062737e-01  ,9.965346142723e+01  
  4.679721095504e-07  ,6.414803209682e-01  ,8.447970950822e+01  
  4.854362704696e-07  ,4.314559289140e-01  ,4.417362478942e+01  
  4.961412646713e-07  ,-5.697229617935e-01  ,1.209290478790e+01  
  5.031097927036e-07  ,-8.404344533999e-01  ,-9.754167835749e+00  
  5.065541961135e-07  ,-7.637327152358e-01  ,-2.044542460590e+01  
  5.075549953522e-07  ,-7.732212737592e-01  ,-2.351250072262e+01  
  5.090210833492e-07  ,-7.686199155186e-01  ,-2.796270981489e+01  
  5.103154354634e-07  ,-7.645547838300e-01  ,-3.184263494206e+01  
  5.118459709825e-07  ,-7.599367365160e-01  ,-3.636211051068e+01  
  5.132993929924e-07  ,-7.557187764206e-01  ,-4.057623284374e+01  
  5.162062370123e-07  ,-7.477585927824e-01  ,-4.874212247446e+01  
  5.191831164898e-07  ,-7.402171363949e-01  ,-5.668320585073e+01  
  5.242301397862e-07  ,-7.286232728115e-01  ,-6.897996511769e+01  
  5.343241863789e-07  ,-7.086520493316e-01  ,-8.811676234690e+01  
  5.361764007153e-07  ,-7.055000846544e-01  ,-9.071727263797e+01  
  5.398808293881e-07  ,-6.992886988813e-01  ,-9.498929389088e+01  
  5.472896867337e-07  ,-6.867955811531e-01  ,-9.963771835679e+01  
  5.491419010701e-07  ,-6.836537656559e-01  ,-9.996366558527e+01  
  5.528463297429e-07  ,-6.771061940604e-01  ,-9.960046873597e+01  
  5.602551870884e-07  ,-6.622807783234e-01  ,-9.485486098336e+01  
  5.750729017796e-07  ,-6.143132080391e-01  ,-7.054854577216e+01  
  5.881650620045e-07  ,-1.606009049809e-01  ,-3.632981983814e+01  
  5.898855873289e-07  ,1.044101392954e-01  ,-3.124334494221e+01  
  5.933266379775e-07  ,4.923934781792e-01  ,-2.081174305711e+01  
  5.969610311927e-07  ,5.894107860957e-01  ,-9.532705045162e+00  
  5.976379164400e-07  ,6.014062332910e-01  ,-7.413895653708e+00  
  5.989916869344e-07  ,6.261363403425e-01  ,-3.167179179353e+00  
  5.993301295580e-07  ,6.349332832800e-01  ,-2.104304727242e+00  
  5.994147402139e-07  ,6.367650347798e-01  ,-1.838544249742e+00  
  5.995839615257e-07  ,6.424149431154e-01  ,-1.306986201288e+00  
  5.997983519824e-07  ,6.520002969656e-01  ,-6.334916934291e-01  
  5.999933243634e-07  ,7.342741343600e-01  ,-2.097213069038e-02  
  6.001846878694e-07  ,9.041397364375e-01  ,5.802107983678e-01  
  6.002968889566e-07  ,9.781215184517e-01  ,9.326906418573e-01  
  6.003804635162e-07  ,1.042916217261e+00  ,1.195232927345e+00  
  6.004263253322e-07  ,1.078980095544e+00  ,1.339300489442e+00  
  6.004725480357e-07  ,1.113796529405e+00  ,1.484498907988e+00  
  6.005649934428e-07  ,1.176158855084e+00  ,1.774886047916e+00  
  6.006346214468e-07  ,1.191405529535e+00  ,1.993589995910e+00  
  6.006778406350e-07  ,9.364599895700e-01  ,2.129338216488e+00  
  6.006900002154e-07  ,9.400567890420e-01  ,2.167529847361e+00  
  6.007073286360e-07  ,9.542077175644e-01  ,2.221955572823e+00  
  6.007270959577e-07  ,9.661210369225e-01  ,2.284040681085e+00  
  6.007526578519e-07  ,9.754233850110e-01  ,2.364324045620e+00  
  6.007773466313e-07  ,9.835510379980e-01  ,2.441863732843e+00  
  6.008040348439e-07  ,9.514366252089e-01  ,2.525681356758e+00  
  6.008258539855e-07  ,8.419536587052e-01  ,2.594205746541e+00  
  6.008430165144e-07  ,8.023708463458e-01  ,2.648104895216e+00  
  6.008551077007e-07  ,7.947182946499e-01  ,2.686076964553e+00  
  6.008694122334e-07  ,7.935487039640e-01  ,2.730999491863e+00  
  6.008980212987e-07  ,7.962547678276e-01  ,2.820842882824e+00  
  6.009492032950e-07  ,7.960624853585e-01  ,2.981568164934e+00  
  6.010414740791e-07  ,7.940942098148e-01  ,3.271303574253e+00  
  6.012260156472e-07  ,7.934175090028e-01  ,3.850689493456e+00  
  6.015950987835e-07  ,7.908876469468e-01  ,5.009053580726e+00  
  6.019728897859e-07  ,7.891551622001e-01  ,6.194048498571e+00  
  6.025668873240e-07  ,7.867328441773e-01  ,8.055377053226e+00  
  6.031747615685e-07  ,7.846081580667e-01  ,9.957279795753e+00  
  6.043905100574e-07  ,7.800648338607e-01  ,1.374949930112e+01  
  6.067255220165e-07  ,7.724397061096e-01  ,2.097199247454e+01  
  6.094271025409e-07  ,7.638348554834e-01  ,2.918506550817e+01  
  6.116160831203e-07  ,7.574478240057e-01  ,3.568839179626e+01  
  6.136895797004e-07  ,7.517845369711e-01  ,4.169351835866e+01  
  6.159739277114e-07  ,7.457724976011e-01  ,4.810357428305e+01  
  6.184650293340e-07  ,7.396402294687e-01  ,5.481042388964e+01  
  6.234472325792e-07  ,7.283548180685e-01  ,6.717854751804e+01  
  6.318797996988e-07  ,7.120548562390e-01  ,8.422985191828e+01  
  6.339879414787e-07  ,7.084408305155e-01  ,8.761241146064e+01  
  6.382042250385e-07  ,7.014524601963e-01  ,9.321191903240e+01  
  6.466367921581e-07  ,6.875797969117e-01  ,9.944233537114e+01  
  6.487449339380e-07  ,6.840681255859e-01  ,9.992227751881e+01  
  6.529612174978e-07  ,6.766793251051e-01  ,9.956758860963e+01  
  6.613937846174e-07  ,6.595514986585e-01  ,9.366183149278e+01  
  6.782589188566e-07  ,5.944984980202e-01  ,6.311354813043e+01  
  6.807589611758e-07  ,5.712175011679e-01  ,5.683302354517e+01  
  6.857590458144e-07  ,3.828487057241e-01  ,4.326163861477e+01  
  6.868693685879e-07  ,2.372031145872e-01  ,4.009109151658e+01  
  6.890900141348e-07  ,-7.329941908561e-02  ,3.360758738610e+01  
  6.925243592610e-07  ,-4.638378931140e-01  ,2.327011712551e+01  
  6.961520469536e-07  ,-5.767345484453e-01  ,1.205927914850e+01  
  6.968073255171e-07  ,-5.883987862836e-01  ,1.001327362506e+01  
  6.981178826441e-07  ,-6.107261304798e-01  ,5.909401270091e+00  
  6.984455219259e-07  ,-6.166536597489e-01  ,4.881596010312e+00  
  6.991008004894e-07  ,-6.296541657742e-01  ,2.824542869807e+00  
  6.998059979429e-07  ,-6.507210720783e-01  ,6.094716642531e-01  
  6.999361037065e-07  ,-6.935253304025e-01  ,2.007359913535e-01  
  7.001963152339e-07  ,-9.123966830556e-01  ,-6.167385866850e-01  
  7.003339181443e-07  ,-1.006736541037e+00  ,-1.049015548468e+00  
  7.004102400293e-07  ,-1.066069453195e+00  ,-1.288771383458e+00  
  7.004918704529e-07  ,-1.127379479626e+00  ,-1.545195105651e+00  
  7.005725462710e-07  ,-1.180653696728e+00  ,-1.798610169533e+00  
  7.006346771282e-07  ,-1.191320260803e+00  ,-1.993764889572e+00  
  7.006740138655e-07  ,-9.385739931934e-01  ,-2.117318775853e+00  
  7.006860395682e-07  ,-9.385466339128e-01  ,-2.155090013869e+00  
  7.007021048826e-07  ,-9.513670030656e-01  ,-2.205548689286e+00  
  7.007210252828e-07  ,-9.635725349104e-01  ,-2.264974027434e+00  
  7.007458915955e-07  ,-9.724655881648e-01  ,-2.343073113074e+00  
  7.007693667452e-07  ,-9.818076012354e-01  ,-2.416801579920e+00  
  7.008005485891e-07  ,-9.668938009542e-01  ,-2.514732443280e+00  
  7.008228886894e-07  ,-8.555071260965e-01  ,-2.584893117922e+00  
  7.008442654529e-07  ,-8.016402448274e-01  ,-2.652027173219e+00  
  7.008644082139e-07  ,-7.968589758844e-01  ,-2.715284730940e+00  
  7.008826563156e-07  ,-7.955010078943e-01  ,-2.772591246595e+00  
  7.009188265561e-07  ,-7.955497422146e-01  ,-2.886177909528e+00  
  7.009911670371e-07  ,-7.948044673551e-01  ,-3.113339908601e+00  
  7.011358479991e-07  ,-7.934342670440e-01  ,-3.567614493246e+00  
  7.014252099230e-07  ,-7.916582455392e-01  ,-4.475933162533e+00  
  7.018769945039e-07  ,-7.892793810313e-01  ,-5.893335404942e+00  
  7.023063807770e-07  ,-7.877757134493e-01  ,-7.239370538139e+00  
  7.029529980405e-07  ,-7.849552253828e-01  ,-9.263815439889e+00  
  7.038524693831e-07  ,-7.819803496118e-01  ,-1.207336397049e+01  
  7.056514120682e-07  ,-7.755128486386e-01  ,-1.766130567128e+01  
  7.088778859957e-07  ,-7.655498588709e-01  ,-2.753050637905e+01  
  7.112486607417e-07  ,-7.583402025380e-01  ,-3.460775832696e+01  
  7.135058141335e-07  ,-7.520567343566e-01  ,-4.116808253724e+01  
  7.155848986491e-07  ,-7.466510581513e-01  ,-4.702853000185e+01  
  7.191246694907e-07  ,-7.379436224855e-01  ,-5.653184084782e+01  
  7.228119618281e-07  ,-7.297916933830e-01  ,-6.568691509535e+01  
  7.301865465029e-07  ,-7.151980146259e-01  ,-8.124478153457e+01  
  7.449357158526e-07  ,-6.896344387231e-01  ,-9.873704000280e+01  
  7.468207127436e-07  ,-6.866028596082e-01  ,-9.950161127085e+01  
  7.505907065256e-07  ,-6.803672971939e-01  ,-9.998278128161e+01  
  7.581306940897e-07  ,-6.663052293351e-01  ,-9.675539098967e+01  
  7.732106692179e-07  ,-6.228224739436e-01  ,-7.457178674263e+01  
  7.865084654673e-07  ,-3.413681250671e-01  ,-4.112719558988e+01  
  7.876022106989e-07  ,-1.894072411388e-01  ,-3.797148469253e+01  
  7.897897011622e-07  ,1.324200216216e-01  ,-3.152935808786e+01  
  7.941646820887e-07  ,5.321663964615e-01  ,-1.822968284813e+01  
  7.988808996066e-07  ,6.222172801566e-01  ,-3.515033341081e+00  
  7.992578058525e-07  ,6.316376291631e-01  ,-2.331460410691e+00  
  8.000116183444e-07  ,7.501762975125e-01  ,3.650010458056e-02  
  8.006085961147e-07  ,1.144680746388e+00  ,1.911844595878e+00  
  8.008885051145e-07  ,8.554431531887e-01  ,2.790958679492e+00  
  8.009658514543e-07  ,7.887444686886e-01  ,3.033846237266e+00  
  8.010124932530e-07  ,7.896558759411e-01  ,3.180305009950e+00  
  8.010638207684e-07  ,7.931015111751e-01  ,3.341469383172e+00  
  8.011614932234e-07  ,7.944524730880e-01  ,3.648128886610e+00  
  8.013568381335e-07  ,7.916961541977e-01  ,4.261341959529e+00  
  8.017475279535e-07  ,7.901394786057e-01  ,5.487263545525e+00  
  8.021023618544e-07  ,7.889652831596e-01  ,6.599963619688e+00  
  8.027328672375e-07  ,7.860440632768e-01  ,8.575011915430e+00  
  8.034579949941e-07  ,7.834736527967e-01  ,1.084225590257e+01  
  8.049082505072e-07  ,7.783625889699e-01  ,1.535869108836e+01  
  8.078087615336e-07  ,7.689989672120e-01  ,2.428662505938e+01  
  8.102756487693e-07  ,7.613657509916e-01  ,3.172412272812e+01  
  8.121651160087e-07  ,7.559538573345e-01  ,3.729425822577e+01  
  8.140411722030e-07  ,7.508725294374e-01  ,4.269492952909e+01  
  8.171316730346e-07  ,7.428928357359e-01  ,5.125976219359e+01  
  8.204013603295e-07  ,7.352216791917e-01  ,5.979392382880e+01  
  8.269407349194e-07  ,7.214161443225e-01  ,7.488784951788e+01  
  8.361183600987e-07  ,7.048269702941e-01  ,9.064040079387e+01  
  8.383159088458e-07  ,7.012094113316e-01  ,9.333841137151e+01  
  8.427110063399e-07  ,6.941023824202e-01  ,9.738960445678e+01  
  8.515012013282e-07  ,6.791174429174e-01  ,9.988880964137e+01  
  8.690815913047e-07  ,6.373564718172e-01  ,8.256370893003e+01  
  8.852463709678e-07  ,4.368914356900e-01  ,4.470806042729e+01  
  8.957725512351e-07  ,-5.633324902045e-01  ,1.324191427755e+01  
  9.025883423652e-07  ,-8.435642668294e-01  ,-8.122559175988e+00  
  9.059533970918e-07  ,-7.649895193282e-01  ,-1.859429734984e+01  
  9.068970131244e-07  ,-7.748911549123e-01  ,-2.149845966114e+01  
  9.083280833925e-07  ,-7.703837782380e-01  ,-2.586597297411e+01  
  9.099625545110e-07  ,-7.651994052571e-01  ,-3.078979724459e+01  
  9.112772094573e-07  ,-7.612155516362e-01  ,-3.469189061538e+01  
  9.125672774876e-07  ,-7.574329087296e-01  ,-3.846352737031e+01  
  9.151474135484e-07  ,-7.502441148583e-01  ,-4.581119864422e+01  
  9.180173771943e-07  ,-7.427390132088e-01  ,-5.362876511679e+01  
  9.220392006005e-07  ,-7.332127429712e-01  ,-6.383724110581e+01  
  9.300828474130e-07  ,-7.164344833096e-01  ,-8.105440977048e+01  
  9.447634714211e-07  ,-6.902822375560e-01  ,-9.864986555270e+01  
  9.465510519709e-07  ,-6.873750749143e-01  ,-9.941356738103e+01  
  9.501262130703e-07  ,-6.814303870133e-01  ,-9.999921389991e+01  
  9.572765352692e-07  ,-6.682498568101e-01  ,-9.739848137710e+01  
  9.715771796669e-07  ,-6.299515070345e-01  ,-7.789121071613e+01  
  9.845620515312e-07  ,-4.894491952450e-01  ,-4.662061079145e+01  
  9.864917950898e-07  ,-3.058399102667e-01  ,-4.117492726657e+01  
  9.897935198813e-07  ,1.580200325461e-01  ,-3.151797291063e+01  
  9.931451635629e-07  ,4.946832920656e-01  ,-2.136903709146e+01  
  9.963075624972e-07  ,5.794247993574e-01  ,-1.157413619234e+01  
  9.987833904296e-07  ,6.216484057150e-01  ,-3.821161180243e+00  
  1.000000000000e-06  ,7.410958682230e-01  ,5.880780558454e-13  
